Verb,Transport,Construction_type,Normal_form,Prefix,Tense,Aspect,Number,Full_context,Sent_length,Author,Header,Created
ехали,поездом,INS,ехать,no,past,impf,sing,В Псков ехали поездом. ,4,Ю. М. Нагибин,Дневник,1973
Едет,поездом,INS,ехать,no,pres,impf,sing,"Едет поездом « 58- бис», под чешской охраной.   ",8,А. И. Алдан-Семенов,Красные и белые,1966
выехал,поездом,INS,выехать,yes,past,perf,sing,Я сейчас же выехал поездом в Киев и несколько часов благополучно проспал в отдельном купе. ,15,В. В. Шульгин,Последний очевидец,1971
Едем,поездом,INS,ехать,no,pres,impf,sing,"Едем поездом до Гельсингфорса, там даем сеансы. ",7,Михаил Ботвинник,Первые ходы. Глава из воспоминаний,1971
отправился,поездом,INS,отправиться,yes,past,perf,sing,"Оказывается, он прямо из Киева отправился поездом на Урал, а с Урала приехал в Воронеж. ",15,Никита Хрущев,Воспоминания,1971
передвигался,поездом,INS,передвигаться,yes,past,impf,sing,"Я проехал большие расстояния на автомобиле, затем передвигался поездом, опять пересаживался на машину и все ездил и ездил по полям. ",20,Никита Хрущев,Воспоминания,1971
ехал,поездом,INS,ехать,no,past,impf,sing,"Папа скончался в четверг, а похороны состоялись в воскресенье, т. к. ждали приезда дяди Бумы: ведь тогда еще не функционировала гражданская авиация; он ехал поездом.   ",25,Н. М. Гершензон-Чегодаева,Воспоминания дочери,1952
выезжаю,поездом,INS,выезжать,yes,pres,impf,sing,Я выезжаю поездом в 6.15. ,5,Василий Аксенов,Любовь к электричеству,1969
уехал,поездом,INS,уехать,yes,past,perf,sing,Почему я не уехал поездом?  ,5,"Эльдар Рязанов, Эмиль Брагинский","Ирония судьбы, или С легким паром",1969
уеду,поездом,INS,уехать,yes,futr,perf,sing,А вечером я улечу или уеду поездом.   ,7,"Эльдар Рязанов, Эмиль Брагинский","Ирония судьбы, или С легким паром",1969
поедет,поездом,INS,поехать,yes,futr,perf,sing,"Он торопился, хотел немедленно выезжать, но категорически заявил, что не поедет поездом, так как у него предчувствие, что случится катастрофа. ",20,Г. А. Газданов,Эвелина и ее друзья,1968
Едем,поездом,INS,ехать,no,pres,impf,sing,"себя, ты все время дрожишь. Едем поездом, хотя я не вижу, чем я тебе могу быть полезен.   ",17,Г. А. Газданов,Эвелина и ее друзья,1968
добрались,поездом,INS,добраться,yes,past,perf,sing,"В Стокгольме остановились мы в Hotel Excelsior, а по Готскому каналу спускались на ныне еще плавающем пароходе Mol' alastrom, но не до Гетеборга, а до Трольгетекого водопада, полюбовавшись на который, мы добрались поездом до Люнгшиле, ближайшей станции от курорта Люкорна. ",40,Н. О. Лосский,Воспоминания: жизнь и философский путь,1968
добирается,поездом,INS,добираться,yes,pres,impf,sing,"С рюкзаком за спиной, в грубых, не знающих износу сапогах, он добирается поездом до Великих Лук, а затем, пеший, бродит по одному ему ведомым маршрутам. ",25,И. Меттер,Пятый угол,1967
ехали,поездом,INS,ехать,no,past,impf,sing,Ринтын и Маша ехали поездом через весенний лес на станцию Всеволожскую. ,11,Юрий Рытхэу,Время таяния снегов,1967
Ехали,поездом,INS,ехать,no,past,impf,sing,"После ужина играли… Ехали поездом, а потом самолетом в Москву… ",10,А. И. Пантелеев,Наша Маша,1966
приезжали,поездом,INS,приезжать,yes,past,impf,sing,"Многие рабочие жили в деревнях, иные даже в дальних, и на работу приезжали поездом.   ",14,В. Ф. Панова,Рабочий поселок,1964
едут,поездом,INS,ехать,no,pres,impf,sing,"Четверо сопровождающих ( остальные едут поездом) вскарабкались в кузов, я уселся в кабину рядом с Витей, и под восторженные крики провожающих наша милая « Антилопа», как мы любовно прозвали нашу машину, покатилась!  ",32,Г. Нестеров,Экспедиция на «Антилопе»,1964
ездит,поездом,INS,ездить,no,pres,impf,sing,"Он в Переделкине, она каждый день ездит поездом на службу ― и кажется на десять лет старше, чем есть. ",19,К. И. Чуковский,Дневник,1964
поехали,поездом,INS,поехать,yes,past,perf,sing,"Ох, напрасно мы не поехали поездом!  ",6,Виктор Драгунский,Денискины рассказы/ Запах неба и махорочки,1963
